,fga_home,fta_home,fgm_home,fga_2_home,fgm_2_home,fga_3_home,fgm_3_home,ast_home,blk_home,pf_home,reb_home,dreb_home,oreb_home,to_home,pts_home
225,2.9838709677419355,0.9838709677419355,1.2419354838709677,2.096774193548387,0.9623655913978495,0.8870967741935484,0.27956989247311825,0.7473118279569892,0.1827956989247312,0.3172043010752688,1.9946236559139785,1.1881720430107527,0.8064516129032258,0.6827956989247311,2.763440860215054
85,1.3680297397769516,0.39776951672862454,0.5613382899628253,0.9386617100371747,0.4070631970260223,0.42936802973977695,0.15427509293680297,0.39219330855018586,0.07806691449814127,0.1524163568773234,0.8066914498141264,0.5446096654275093,0.2620817843866171,0.241635687732342,1.2769516728624535
222,1.3368421052631578,0.4868421052631579,0.5789473684210527,0.9947368421052631,0.44473684210526315,0.34210526315789475,0.13421052631578947,0.3763157894736842,0.11052631578947368,0.12105263157894737,0.8394736842105263,0.5526315789473685,0.2868421052631579,0.2394736842105263,1.2921052631578946
207,1.6581632653061225,0.5459183673469388,0.7780612244897959,1.3596938775510203,0.6862244897959183,0.29846938775510207,0.09183673469387756,0.45153061224489793,0.10714285714285714,0.1556122448979592,1.0025510204081634,0.6556122448979592,0.3469387755102041,0.33163265306122447,1.6479591836734695
134,3.2857142857142856,2.142857142857143,2.0,2.0,1.4285714285714286,1.2857142857142858,0.5714285714285714,0.8571428571428571,0.14285714285714285,0.14285714285714285,2.5714285714285716,1.1428571428571428,1.4285714285714286,0.2857142857142857,4.571428571428571
388,2.8653846153846154,1.0192307692307692,1.2692307692307692,2.2884615384615383,1.0769230769230769,0.5769230769230769,0.19230769230769232,0.75,0.07692307692307693,0.25,1.9423076923076923,1.1730769230769231,0.7692307692307693,0.5769230769230769,2.730769230769231
435,2.8378378378378377,1.0064350064350065,1.277992277992278,2.2715572715572714,1.0875160875160874,0.5662805662805663,0.19047619047619047,0.694980694980695,0.16731016731016732,0.3487773487773488,1.7644787644787645,1.1093951093951093,0.6550836550836551,0.564993564993565,2.7464607464607464
208,2.230769230769231,1.1538461538461537,1.3076923076923077,1.7692307692307692,1.0,0.46153846153846156,0.3076923076923077,0.7692307692307693,0.0,0.3076923076923077,1.0769230769230769,0.7692307692307693,0.3076923076923077,0.38461538461538464,2.923076923076923
407,2.3636363636363638,1.1590909090909092,1.0227272727272727,2.1136363636363638,0.9545454545454546,0.25,0.06818181818181818,0.5681818181818182,0.06818181818181818,0.22727272727272727,1.5681818181818181,0.8863636363636364,0.6818181818181818,0.5227272727272727,2.1136363636363638
402,2.3545150501672243,0.5819397993311036,1.0334448160535117,1.7625418060200668,0.8361204013377926,0.5919732441471572,0.19732441471571907,0.5451505016722408,0.12709030100334448,0.32441471571906355,1.62876254180602,1.040133779264214,0.5886287625418061,0.5518394648829431,2.2642140468227425
210,3.253846153846154,1.0615384615384615,1.2769230769230768,2.4846153846153847,1.0384615384615385,0.7692307692307693,0.23846153846153847,0.6076923076923076,0.2153846153846154,0.35384615384615387,2.3153846153846156,1.5076923076923077,0.8076923076923077,0.676923076923077,2.792307692307692
194,2.707317073170732,0.8861788617886179,1.2601626016260163,2.048780487804878,1.0,0.6585365853658537,0.2601626016260163,0.7804878048780488,0.15447154471544716,0.3089430894308943,1.5040650406504066,1.008130081300813,0.4959349593495935,0.5934959349593496,2.7804878048780486
103,2.6130790190735693,1.005449591280654,1.1498637602179838,2.002724795640327,0.9455040871934605,0.6103542234332425,0.20435967302452315,0.6811989100817438,0.11716621253405994,0.2888283378746594,1.7111716621253406,1.0408719346049047,0.670299727520436,0.5122615803814714,2.5040871934604905
97,2.668067226890756,1.0168067226890756,1.2226890756302522,2.0756302521008405,1.0630252100840336,0.592436974789916,0.15966386554621848,0.6218487394957983,0.10504201680672269,0.3403361344537815,1.6890756302521008,1.0588235294117647,0.6302521008403361,0.46218487394957986,2.6050420168067228
340,2.1666666666666665,0.8888888888888888,0.8055555555555556,1.5277777777777777,0.6111111111111112,0.6388888888888888,0.19444444444444445,0.4722222222222222,0.16666666666666666,0.4444444444444444,1.8888888888888888,1.1111111111111112,0.7777777777777778,0.3611111111111111,1.8055555555555556
306,2.611111111111111,1.0625,1.0416666666666667,2.0,0.8888888888888888,0.6111111111111112,0.1527777777777778,0.5416666666666666,0.1111111111111111,0.3263888888888889,1.7013888888888888,1.0277777777777777,0.6736111111111112,0.5138888888888888,2.236111111111111
191,3.706896551724138,0.9827586206896551,1.5517241379310345,3.0344827586206895,1.3275862068965518,0.6724137931034483,0.22413793103448276,0.9655172413793104,0.27586206896551724,0.5517241379310345,2.310344827586207,1.6379310344827587,0.6724137931034483,0.6724137931034483,3.3275862068965516
244,1.631578947368421,0.7368421052631579,0.8947368421052632,1.4210526315789473,0.7368421052631579,0.21052631578947367,0.15789473684210525,0.3684210526315789,0.21052631578947367,0.42105263157894735,1.0526315789473684,0.7368421052631579,0.3157894736842105,0.42105263157894735,1.9473684210526316
270,2.8253968253968256,1.1587301587301588,1.1904761904761905,2.2222222222222223,0.9365079365079365,0.6031746031746031,0.25396825396825395,0.6507936507936508,0.1746031746031746,0.3333333333333333,1.5714285714285714,1.0158730158730158,0.5555555555555556,0.49206349206349204,2.634920634920635
240,3.9285714285714284,1.3571428571428572,1.6785714285714286,3.1785714285714284,1.5357142857142858,0.75,0.14285714285714285,1.0,0.2857142857142857,0.6428571428571429,2.5357142857142856,1.6071428571428572,0.9285714285714286,0.75,3.5
140,2.8043478260869565,0.6521739130434783,1.1521739130434783,2.4782608695652173,1.065217391304348,0.32608695652173914,0.08695652173913043,0.6521739130434783,0.17391304347826086,0.41304347826086957,1.434782608695652,0.8913043478260869,0.5434782608695652,0.7391304347826086,2.391304347826087
237,2.816326530612245,1.0816326530612246,1.0,2.3877551020408165,0.8979591836734694,0.42857142857142855,0.10204081632653061,0.5102040816326531,0.10204081632653061,0.24489795918367346,2.2857142857142856,1.530612244897959,0.7551020408163265,0.6326530612244898,2.1020408163265305
7,1.539568345323741,0.5467625899280576,0.7122302158273381,1.1942446043165467,0.5971223021582733,0.34532374100719426,0.11510791366906475,0.460431654676259,0.09352517985611511,0.1510791366906475,0.9712230215827338,0.6474820143884892,0.3237410071942446,0.35251798561151076,1.539568345323741
