home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,home_team,away_team,starting_min,season
8,11,23,45,94,13,36,96,141,207,11,23,0,2010
36,45,78,170,153,13,36,96,141,207,11,23,6,2010
36,45,78,170,153,13,36,96,71,207,11,23,8,2010
36,56,78,170,153,13,36,96,71,207,11,23,9,2010
36,56,78,170,153,132,123,122,145,207,11,23,11,2010
8,11,32,45,153,132,122,96,71,85,11,23,12,2010
8,56,165,235,187,132,122,122,141,85,11,23,13,2010
8,45,165,235,187,13,101,95,71,82,11,23,14,2010
8,45,78,170,187,13,101,95,71,82,11,23,16,2010
8,45,78,170,187,13,101,96,141,207,11,23,18,2010
8,11,23,45,94,13,101,96,141,207,11,23,19,2010
36,45,78,170,153,13,101,122,141,207,11,23,22,2010
8,11,23,45,94,13,36,96,141,207,11,23,25,2010
36,45,78,170,153,13,36,96,141,207,11,23,27,2010
36,45,78,170,153,13,101,122,141,207,11,23,33,2010
75,108,210,235,187,132,122,122,141,85,11,23,36,2010
8,45,32,235,187,132,122,122,141,85,11,23,37,2010
8,45,32,235,187,13,36,96,71,207,11,23,40,2010
8,11,23,45,94,13,36,96,71,207,11,23,41,2010
8,11,78,170,153,13,36,96,141,207,11,23,43,2010
36,45,78,170,153,13,36,96,141,207,11,23,46,2010
13,35,92,151,204,24,9,241,268,205,23,8,0,2010
13,35,92,151,204,30,251,283,268,205,23,8,6,2010
65,101,92,80,204,85,251,283,268,205,23,8,9,2010
131,121,117,155,204,85,251,283,268,205,23,8,10,2010
131,120,92,80,80,28,55,241,242,205,23,8,11,2010
131,120,92,80,80,28,55,171,190,174,23,8,13,2010
13,120,117,151,80,28,55,171,190,174,23,8,14,2010
13,148,191,155,204,28,55,171,190,174,23,8,17,2010
13,35,92,151,204,28,55,171,190,174,23,8,18,2010
13,35,92,151,204,24,7,171,268,205,23,8,19,2010
65,121,191,155,204,24,7,32,190,205,23,8,24,2010
13,35,92,151,204,24,9,241,268,205,23,8,25,2010
13,35,92,80,204,24,55,241,268,205,23,8,30,2010
13,121,117,155,204,24,55,241,268,205,23,8,34,2010
13,120,117,151,80,85,251,283,268,205,23,8,35,2010
131,120,117,151,80,85,251,283,268,205,23,8,36,2010
13,35,92,151,204,28,9,171,242,203,23,8,37,2010
13,35,92,151,204,28,9,171,188,203,23,8,38,2010
65,121,191,155,204,28,9,171,188,203,23,8,39,2010
65,120,117,155,204,28,9,171,188,203,23,8,43,2010
9,101,91,80,80,28,9,8,119,203,23,8,46,2010
13,35,92,89,204,7,54,157,201,181,23,16,0,2010
13,35,92,89,204,7,54,252,219,181,23,16,4,2010
65,101,117,89,204,84,62,266,250,182,23,16,8,2010
65,101,117,89,204,50,54,37,201,150,23,16,11,2010
13,120,117,151,80,7,25,266,254,239,23,16,13,2010
13,120,92,151,80,7,185,289,254,239,23,16,16,2010
